Línea	Id propuesta	Propuesta	Tipo elemento	Id elemento	Relación	Valor	Claim?	"Claim+premise?
WHY?"	Relacionado con aspecto?	Validación premisa(s)	Coherencia lógica p->c	Consistencia p1 <> p2	Persuasión	Apelación emocioal/ética (pathos/ethos)	
1	7	Limpiar las calles													PROPUESTA 6931 SIN COMENTARIOS
2	7	Algo tan básico como limpiar.													
3	7		Aspecto	Educación y concienciación ciudadana		La necesidad de mejorar la educación y concienciación de los ciudadanos sobre la limpieza.									
4	7		Argumento	1	A favor	El ideal sería vivir sin necesidad de tener un policía y un barrendero detrás de nosotros.	0								
5	7		Argumento	2	A favor	Hay que educar a los ciudadanos, aunque sea a base de multas.	1	1	1	1	1	1	1	1	
6	7		Argumento	3	A favor	Eduquense y no ensucien tanto.	-1								
7	7		Argumento	4	En contra	Hola, en mi opinión no me parece una prioridad a día de hoy.	0								
8	7		Argumento	5	En contra	Madrid es una ciudad sucia, no por falta de limpieza, pero sí por falta de educación.	1	1	1	1	1	1	1	1	
9	7		Aspecto	Gestión y políticas de limpieza		La eficacia de las políticas y gestiones actuales en cuanto a la limpieza de las calles.									
10	7		Argumento	6	A favor	Una de las principales pautas por las que valoraré al nuevo gobierno, al que he votado, es por la limpieza.	0								
11	7		Argumento	7	A favor	Espero que acabe, lo antes posible, con la dejadez que nos han dejado los anteriores desgobiernos de Madrid.	0								
12	7		Argumento	8	En contra	El Ayuntamiento debería anular el contrato de limpieza de la ciudad.	1	0	1						
13	7		Argumento	9	En contra	La gestión en cuanto a limpieza ha sido y sigue siendo más que pésima.	1	0	1						
14	7		Argumento	10	En contra	El Ayuntamiento está tan ocupado leyendo propuestas y escuchando a sus ciudadanos, que se olvida de los que son sus obligaciones fundamentales, prestar servicios públicos de calidad a los ciudadanos.	1	1	1	0	0	1	2	2	
15	7		Aspecto	Infraestructura y recursos		La adecuación de la infraestructura y recursos disponibles para la limpieza de las calles.									
16	7		Argumento	11	A favor	Necesitamos muchos camiones con mangueras de agua, barrer no es suficiente.	1	1	1	1	1	1	0	0	
17	7		Argumento	12	A favor	Las calles apestan.	1	0	0						
18	7		Aspecto	Estado actual de las calles		La situación actual de las calles en Madrid en términos de limpieza y mantenimiento.									
19	7		Argumento	13	A favor	Es lamentable el estado de las calles en la zona centro de Madrid.	1	0	1						
20	7		Argumento	14	A favor	Las únicas calles que se limpian son Espítu Santo y Manuela Malasaña.	1	0	1						
21	7		Argumento	15	En contra	Hasta el centro esta sucio, la periferia Valdebernardo ya da asco.	1	0	1						
22	7		Argumento	16	En contra	La basura algún día ni la recogen, basura fuera de los contenedores días y días.	1	1	1	2	1	2	1	0	
23	7		Argumento	17	En contra	¿Qué está pasando?	-1								
24	7		Aspecto	Sanciones y multas		La implementación de sanciones y multas como medida para mejorar la limpieza de las calles.									
25	7		Argumento	18	A favor	Propuesta relacionada: multar por los excrementos de los perros.	1	0	1						
26	7		Argumento	19	A favor	Totalmente de acuerdo, educar y sancionar y mientras tanto limpiar y limpiar.	1	0	1						
27	7		Argumento	20	A favor	Además de la obvia necesidad de limpiar las calles a fondo especialmente del centro, que manifiesta un estado lamentable es necesario un plan global que eduque en colegios y barrios, informe en las calles a vecinos, transeúntes y colectivos y, como paso transitorio a la normalización, sancione a quien orine, escupa y defeque en la vía pública, no recoja los excrementos de sus animales y permita que estos orinen en portales y macetas, tire papeles, chicles, colillas o cualquier objeto que ensucie la vía y no participe en el correcto proceso de reciclaje.	1	1	1	2	1	1	1	2	
28	7		Argumento	21	En contra	La normativa ya existe ¿Por qué no se hace cumplir? ¿Por qué se hace la vista gorda?	1	0	1						
29	7		Aspecto	Participación ciudadana		El rol de la participación ciudadana en la mejora de la limpieza y mantenimiento de las calles.									
30	7		Argumento	22	A favor	Propongo que salgas con una escoba y empieces a limpiar, detrás iré yo, te lo prometo.	-1								
31	7		Argumento	23	A favor	Demos tiempo al nuevo gobierno para que puedan estudiar, dialogar y llegar a las mejores soluciones para que Madrid brille!	0								
32	7		Argumento	24	En contra	Como nos gusta exigir! Es como tener un hijo y a los 3 días de colegio ya le exigimos que nos traiga las notas con un 10. Seamos sensatos, la culpa no es del nuevo gobierno, sino del anterior y su política de privatización de servicios a través de un contrato a 10 años!	1	0	0						
33	7		Argumento	25	En contra	Votado, totalmente de acuerdo. También influye que a la vez que se han hecho recortes, hay mucha gente que no respeta las normas de limpieza.	0								
34	7		Aspecto	Conciencia medioambiental		La importancia de fomentar una mayor conciencia medioambiental entre los ciudadanos.									
35	7		Argumento	26	A favor	Un poquito de conciencia social y sentido común bastaría.	1	0	1						
36	7		Argumento	27	A favor	Lo primero es la concienciación, la información y la educación cívica y medioambiental pero la situación de Madrid empieza a exigir medidas excepcionales en esta materia.	1	1	1	1	0	1	1	2	
37	7		Argumento	28	En contra	Por supuesto. Y el problema añadido es que en Madrid llueve poco, un tanto en otoño, algunas gotas en invierno y otro chubasco en primavera, el verano nada de nada, por eso se requiere tanta limpieza.	1	1	0	1	1	1	0	0	
38	7		Argumento	29	En contra	La única basura aceptable en un pueblo culto, es el polvo del ambiente, hojas de árboles, alguna rama y nada más. Todo lo demás proviene de la mano del hombre y no siempre de la mano Los papeles, latas, maderas, vidrios, botellas, plásticos, colillas, heces, vómitos, orines, etc. No llegaron solos a las calles, siempre hay un ciudadano sucio, resentido social, mal educado que expresa su mala conducta arrojando basura.	0								
39	7		Aspecto	Inclusión de tecnologías y métodos modernos		La incorporación de tecnologías y métodos modernos en la limpieza y mantenimiento de las calles.									
40	7		Argumento	30	A favor	Hola, creo que nuestras propuestas son complementarias. Propongo recoger y transportar la basura por la red de metro.	1	0	1						
41	7		Argumento	31	A favor	Vivo en la zona latina y cerca zona Madrid río. Desde hace más de 2 meses no pasa nadie a limpiar las calles y cada vez que voy al colegio de mi hija tengo que ir esquivando las mierdas de los perros, palomas papeles publicidad de prostitutas y masajes orientales que dejan en los coches. Justo en Madrid río todo limpio pero qué pasa con las calles paralelas que les separa solamente un paso de peatones?	1	1	0	2	1	1	1	2	
42	7		Aspecto	Responsabilidad individual y colectiva		La importancia de la responsabilidad individual y colectiva en el mantenimiento de la limpieza de las calles.									
43	7		Argumento	32	A favor	No es más limpio el que más limpia, sino el que menos ensucia.	1	0	1						
44	7		Argumento	33	A favor	Creo que antes que limpiar, el ciudadano debería dejar de ensuciar. No cuesta nada guardarse un papel en la mano hasta encontrar una papelera.	1	1	1	1	2	2	1	2	
45	7		Argumento	34	A favor	Y tampoco es necesario que haya papeleras a cada 50 metros, podemos aguantar un poquito más que eso sin tener que tirar la basura por donde nos apetezca.	1	1	1	1	2	1	1	2	
46	7		Argumento	35	En contra	Lo ideal es que no se manche, pero lo necesario es que se limpie. Culpar al ciudadano es lo habitual, pero pongo un simil para que se entienda.	1	1	1	1	1	1	2	1	
47	7		Argumento	36	En contra	Si entras en un bar con el suelo lleno de servilletas sucias yo no entro la tendencia es a tirar la servilletas, es un acto inconsciente. Si el bar está limpio buscarás la papelera.	1	1	1	1	1	1	2	1	
48	7		Aspecto	Impacto en la salud y el bienestar		El impacto de la limpieza de las calles en la salud y el bienestar de los ciudadanos.									
49	7		Argumento	37	A favor	Es lamentable el estado de las calles en la zona centro de Madrid, por no hablar ya en concreto de Malasaña, donde los vecinos tenemos que convivir rodeados de basura, calles llenas de orín, excrementos no solo de animales de 4 patas vómitos, botellas rotas.	1	1	1	2	2	2	2	1	
50	7		Argumento	38	En contra	¿De qué sirve limpiar a fondo un tiempo si después se deja de limpiar?	-1								
51	7		Argumento	39	En contra	¡¿Qué no es prioritario la limpieza de una ciudad?!	-1								
52	19	Unir el centro con Madrid Río de forma peatonal													
53	19	El centro turístico y comercial de Madrid está sólo a 700 metros de la Casa de Campo y de Madrid Rio, pero las conexiones a él son terribles. Propongo unirlo con calles peatonales y arboladas.													
54	19		Aspecto	Accesibilidad y Conectividad		Mejora de la accesibilidad y conectividad entre la Plaza de España, Campo del Moro, Jardines de Sabatini, Madrid Río y Casa de Campo									
55	19		Argumento	40	A favor	Totalmente de acuerdo, pero lo que más me indigna es que se podría unir con algo tan sencillo como abrir el campo del moro al público y los jardines de sabatino es decir que dejen de existir vallas y que se conecten esas zonas verdes Madrid río, casa campo, campo del moro y jardines de sabatini y sea para todos a todas horas.	1	1	1	0	2	2	1	1	
56	19		Argumento	41	A favor	Aprovechar la reforma de Plaza España para unirlo peatonalmente con Madrid Río.	1	0	1						
57	19		Argumento	42	A favor	Con una cuesta de San Vicente peatonal o más accesible podría ser una pasada bajar a Madrid Rio/Casa de campo rodeados del Campo del Moro y el Templo de Debod.	1	0	1						
58	19		Argumento	43	En contra	Yo no veo que sea tan fácil como lo plantea Zamuntx. Si pudiera hacerse según su idea, problemas 0 pero resulta que bajo la cuesta de San Viciente, pasa el trazado de la red de Renfe que va dirección a Pirámides, así como el trazado de la línea 10 de Metro. ES UN CONTRAARGUMENTO CITANDO OTRO ARGUMENTO	0								
59	19		Argumento	44	En contra	Personalmente, apostaría por reducir el número de carriles de la calzada actualmente hay tres por sentido, más el carril bus/taxi. Dos carriles serían más que suficientes, se podría aumentar el ancho de la acera a ambos lados de la calle, e incluso se podría construir un carril seguro para los ciclistas.	1	1	1	1	2	1	1	1	
60	19		Aspecto	Impacto Económico		Consideraciones sobre el costo y viabilidad económica de la propuesta									
61	19		Argumento	45	A favor	Existe la creencia de que soterrar es caro, cuando realmente este tipo de túnel se denomina falso túnel, ya que consiste en abrir la calle, excavar 4 o 5 metros y cubrirlo con vigas y asfalto, sin tuneladoras.	1	1	1	2	1	2	1	0	
62	19		Argumento	46	A favor	La opción de Zamuntx es muy sensata, me parece que no se puede comparar la distancia que se soterró con la M30 con la que se soterraría con la cuesta de San Vicente, que sería mucho menor.	1	0	1						 
63	19		Argumento	47	En contra	Soterrar es caro vecin@. Y si no, recuerda la M-30 o el túnel de María de Molina.	1	1	1	2	1	2	0	0	
64	19		Argumento	48	En contra	Además, tampoco hay que buscar el coste cero, porque si se quiere solucionar este problema, habrá que barajar entre distintas opciones, pero se tendrá que invertir dinero y buscar una solución que no sea un apaño para salir del paso, porque en ese caso no se soluciona el problema, sino que se evita afrontarlo.	1	0	1						
65	19		Aspecto	Seguridad y Comodidad		Mejora de la seguridad y comodidad para peatones y ciclistas en la zona									
66	19		Argumento	49	A favor	Totalmente de acuerdo, el entorno de la Plaza de España con todos sus túneles y la cuesta de San Vicente la convierten en un sitio tremendamente hostil para los peatones y los ciclistas. Es necesario acabar con eso.	1	1	1	1	1	2	1	1	
67	19		Argumento	50	A favor	"La cuesta es un infierno; a medida que subes se estrecha la carretera y las aceras de tal manera que si te cruzas con un autobús de subida y otro de bajada, casi te arroyan."	1	1	1	1	1	2	2	1	
68	19		Aspecto	Prioridades Sociales		Consideraciones sobre otras prioridades sociales frente a la propuesta									
69	19		Argumento	51	En contra	La propuesta es interesante pero me temo que nos estamos olvidando de temas que son prioritarios para la vida de muchas familias sin recursos que no pueden alimentar a sus hijos.	1	0	1						
70	19		Argumento	52	En contra	Os recuerdo que España es el país de la OCDE donde más avanzó la desigualdad durante la crisis.	1	0	1						
71	19		Aspecto	Integración Urbana		Integración de espacios verdes y urbanos para mejorar la cohesión de la ciudad									
72	19		Argumento	53	A favor	Ahora que se va a remodelar la Plaza de España sería una oportunidad de oro hacer peatonal la Cuesta de San Vicente para hacer una senda verde que una el centro con el Campo del Moro, Madrid Río y Casa de Campo.	1	1	1	0	1	2	1	0	
73	19		Argumento	54	A favor	Y por qué no construir escaleras que unan los Jardines del Campo del Moro a la Plaza de la Armeria y a los Jardines de Sabatini? No entiendo la lógica de que no estén conectados.	1	0	1						
74	19		Aspecto	Conservación y Seguridad en Parques		Preocupaciones sobre la conservación y seguridad en los parques involucrados en la propuesta									
75	19		Argumento	55	En contra	El cierre de los parques históricos por la noche es necesario para evitar el vandalismo.	1	1	1	1	1	1	0	1	
76	19		Argumento	56	En contra	Se debería hacer un estudio serio sobre las alternativas, pero lo mejor serían los aparcamientos disuasorios y pensar que cualquier reducción de carriles afectaría también a los autobuses de la EMT como pasa en O'Donnell.	1	0	0						
77	19		Aspecto	Impacto Ambiental		Consideraciones sobre el impacto ambiental de la propuesta									
78	19		Argumento	57	A favor	Recuperación del espacio público para los ciudadanos.	1	0	0						
79	19		Argumento	58	A favor	El foco de contaminación para los vecinos y para toda la gente que quiere acceder al centro es inhumana, sin contar los ruidos y los peligros de tener una autopista en un lugar tan emblemático y con tanto tránsito.	1	1	1	1	1	2	1	2	
80	19		Aspecto	Viabilidad Técnica		Desafíos técnicos y viabilidad de la implementación de la propuesta									
81	19		Argumento	59	En contra	No obstante la idea de continuar el túnel que ahora existe más allá de Príncipe Pío hasta Plaza de España para conectar con el túnel de Bailén es la única salida. Recordemos que esta vía es el único gran acceso desde el Oeste al Centro de la ciudad, carece de alternativas, dada la orografía tan especial de Madrid.	1	1	1	2	1	2	1	1	
82	19		Argumento	60	En contra	Efectivamente, creo que olvidamos algo fundamental, hay una salida de la M-30 que va a dar directamente a la Cuesta de San Vicente y es el paso obligado para poder acceder a la Avda de Portugal y la carretera de Extremadura, zonas muy pobladas y que necesitan que se les garantice la movilidad y el acceso al centro como cualquier otra zona.	1	1	1	1	2	2	1	1	
83	50	Carril bicicleta por la Castellana													
84	50	Ir en bicicleta por la Castellana es peligroso, y dado que hay suficiente espacio en el bulevar peatonal o en la calzada lateral sería sencillo y barato hacer un carril bicicleta.													
85	50		Aspecto	Seguridad		La seguridad de los ciclistas y otros usuarios de la vía									
86	50		Argumento	61	A favor	Tienes un carril de la Castellana y de otras muchas calles que es para ir en bicicleta.	1	0	0						
87	50		Argumento	62	A favor	En una vía con tanta circulación y habiendo suficiente espacio para poner un carril bicicleta, sería más seguro y conveniente separar el tráfico.	1	1	1	1	1	2	1	1	
88	50		Argumento	63	A favor	El nivel de seguridad en un carril bicicleta es casi pleno si lo comparamos rodando con tráfico.	1	0	1						
89	50		Argumento	64	En contra	Como viandante diaria entre semana del Paseo de la Castellana, no sé si esta propuesta mejoraría o empeoraría el problema, viendo el incivismo por parte de los ciclistas con los peatones.	0								
90	50		Argumento	65	En contra	El riesgo real existe y si quieres te saco la estadística de ciclistas atropellados en los últimos años.	0								
91	50		Argumento	66	En contra	Miedo me da, en algunos casos los carriles bicicleta son más peligrosos, sobre todo en cruces.	1	0	1						
92	50		Aspecto	Infraestructura		La adecuación y diseño de la infraestructura para el carril de bicicletas									
93	50		Argumento	67	A favor	Una opción muy buena que no generaría peligros en las intersecciones sería limitar el uso de los laterales a bicicletas permitiendo el paso a coches sólo para aparcamientos.	1	0	0						
94	50		Argumento	68	A favor	Yo creo que por ejemplo, en el tramo norte de Joaquín Costa a Pza de Castilla se puede quitar todo el aparcamiento en batería y entre los árboles plantados hacer un buen carril bicicleta en ambos lados.	1	0	1						
95	50		Argumento	69	En contra	Quien pida un carril segregado los conductores les puede impacientar tener un vehículo más lento.	1	0	0						
96	50		Argumento	70	En contra	Me cuesta creer que utilices la bicicleta por Madrid y estés en contra de esta medida, si visitas otras ciudades como Barcelona te das cuenta que aquí los ciclistas estamos vendidos.	1	1	0	1	1	1	2	2	
97	50		Aspecto	Impacto Ambiental		El impacto de la propuesta en el medio ambiente y la sostenibilidad									
98	50		Argumento	71	A favor	Yo también utilizo la bicicleta en Madrid y creo que el ayuntamiento debería incidir más en crear infraestructuras en las arteria principales de Madrid para animar a todos cambiar el coche por la bicicleta.	1	0	1						
99	50		Argumento	72	A favor	Completamente de acuerdo: carril bicicleta y más carril bicicleta en las arterias de Madrid y veremos cómo los madrileños se suben a la bicicleta en lugar del coche.	1	0	1	0					
100	50		Argumento	73	En contra	Si te importa el Medio Ambiente igual apoyarías también esta propuesta.	0								
101	50		Aspecto	Cultura y Educación Vial		La influencia de la propuesta en la cultura y educación vial de los ciudadanos									
102	50		Argumento	74	A favor	Apoyo la propuesta y lanzo esta complementaria. Una propuesta de regulación real de vehículos eléctricos ligeros, que ya se comercializan y que actualmente, en Madrid están en un limbo, cuando en otras ciudades y países son una realidad realmente efectiva, ecológica y sostenible.	1	1	0	1	1	2	2	2	
103	50		Argumento	75	A favor	La segunda opción es la que mejor resuelve el problema sin duda.	0								
104	50		Argumento	76	En contra	Obviamente Madrid no es una ciudad preparada para las bicicletas, tanto por la infraestructura como por la educación de los usuarios de las mismas.	1	1	1	1	1	1	1	1	
105	50		Argumento	77	En contra	No debemos criminalizar un colectivo entero, basándonos en alguna que otra infracción de tráfico.	1	1	1	1	0	1	1	1	
106	50		Argumento	78	En contra	Considero mejor otras opciones educación vial, calmado de tráfico en ese tramo, por ejemplo.	1	0	0						
107	50		Aspecto	Accesibilidad y Conectividad		La mejora o deterioro de la accesibilidad y conectividad en la ciudad									
108	50		Argumento	79	A favor	Totalmente de acuerdo. Lo cierto es que mucho subimos en bicicleta por la castellana. Desde Legazpi o desde atocha. Y nos la jugamos todo el rato. Agradeceríamos este gesto del nuevo Ayuntamiento para con la movilidad y el aire de Madrid.	1	1	0	1	1	1	1	2	
109	50		Argumento	80	A favor	También carriles bicicleta para conectar a Madrid capital con los municipios cercanos como Rivas.	1	0	1						
110	50		Argumento	81	A favor	Apoyo la propuestas, pero mientras me gustaría compartir una alternativa que yo uso: las calles paralelas como Modesto Lafuente y Ponzano para bajar y Alonso Cano para subir tienen poco tráfico, son anchas y se circula bien en bicicleta.	1	0	1						
111	50		Argumento	82	En contra	A Rivas se puede iren bicicleta por caminos. De momento es la solución. De todas formas es competencia de la Comunidad, y habría que presionar al Ayuntamiento para que solicitara algo así a Cifuentes.	1	0	1						
112	50		Argumento	83	En contra	La clave es usar rutas alternativas. La castellana con carril bicicleta seguirá siendo una mala alternativa para los colectivos que describes.	1	1	0	0	1	1	1	1	
113	50		Argumento	84	En contra	Esta programado para 2016 un plan de 33 vías ciclistas, entre ellas se encuentra el paseo de la Castellana, pero considero mejor otras opciones educación vial, calmado de tráfico.	1	0	1						
114	50		Aspecto	Impacto Social		El efecto de la propuesta en la sociedad y la percepción pública									
115	50		Argumento	85	A favor	Una propuesta muy buena que no generaría peligros en las intersecciones sería limitar el uso de los laterales a bicicletas permitiendo el paso a coches sólo para aparcamientos.	1	0	0						
116	50		Argumento	86	A favor	Ya es la hora de hacer esto. Me parece una vergüenza que no se lo ha hecho hace años, no sería por falta de espacio.	1	0	0						
117	50		Argumento	87	A favor	Estoy de acuerdo con ABG 4 carriles en cada sentido para los vehículos motorizados convierten un bulevar en una autopista. Quitar un carril en cada sentido para dárselo a las bicicletas es beneficioso para todos.	1	1	1	1	1	2	2	1	
118	50		Argumento	88	En contra	El colectivo en bicicleta por Madrid propone varias alternativas al problema. Podeis echarle un vistazo en esta web.	0								
119	50		Argumento	89	En contra	Ya se que no estás persiguiendo a nadie, pero infracciones de tráficos se ven todos los días por parte de coches, taxistas, autobuseros, ciclistas.	1	0	0						
120	50		Argumento	90	En contra	El uso de la bicicleta, no tiene que conllevar un perjuicio para el peatón. La bicicleta es un medio de transporte más, muy útil en la ciudad de Madrid, y puede sustituir al coche como opción para moverse dentro de la ciudad.	1	1	1	1	1	2	1	1	
121	50		Aspecto	Viabilidad Económica		La factibilidad económica de implementar la propuesta									
122	50		Argumento	91	A favor	El Ayuntamiento de Madrid invertirá más de 40 millones en completar la red de ciclo-carriles.	1	0	1						
123	50		Argumento	92	A favor	Con este dinero se podría hacer el carril: [enlace a propuesta].	0								
124	50		Argumento	93	A favor	Si quitas un carril en cada sentido a los coches, adquiere mucha más visibilidad a la vez que bloquea el tráfico. Por tanto, si una persona se queda parada en un atasco y ve gente circular mucho más rápido por el carril bicicleta, quizás se replantee el uso del vehículo motorizado.	1	1	0	1	1	2	2	1	
125	50		Argumento	94	En contra	Cuanto estas dispuesto a pagar por tener un bulevar o más kilómetros de carril bicicleta? Los automóviles pagan un impuesto.	0								
126	50		Argumento	95	En contra	Plan anti grafitis. Acabemos con esta lacra: [enlace a propuesta].	-1								
127	50		Argumento	96	En contra	Yo estoy de acuerdo en que sería importante hacer un carril bicicleta en la castellana, pero por el bulevar peatonal que ya de por si tiene una anchura considerable. Me parece que lo que se ha hecho actualmente pintando una bicicleta en un carril de los dos que tiene el lateral es una chapuza que esta ocasionando accidentes tanto para los ciclistas sobretodo turistas como con los conductores.	1	1	0	1	1	2	2	2	
128	61	Restablecer iluminación en carreteras													
129	61	Hace unos años el ayuntamiento decidió apagar farolas en distintas zonas de carretera para así poder ahorrar en la factura de la luz. Creo que se debería restablecer la iluminación en estos puntos.													
130	61		Aspecto	Seguridad Vial		La seguridad en las carreteras al conducir.									
131	61		Argumento	97	A favor	La seguridad mejora en carreteras sin iluminación externa, ya que los conductores centran la atención en lo que importa: la carretera y los coches, que quedan suficientemente iluminados con los faros de los coches.	1	1	1	1	2	2	1	1	
132	61		Argumento	98	A favor	Países más seguros como Alemania, Reino Unido, etc., no tienen iluminación alguna en las carreteras.	1	0	0						
133	61		Argumento	99	En contra	Creo que es de vital importancia pues hay muchos tramos de carreteras y vías en las que es muy peligroso circular por su poca visibilidad y más aun cuando existe ya la iluminación instalada hace tiempo.	1	1	1	2	2	1	2	2	
134	61		Argumento	100	En contra	Es un tema que hay que estudiar con cuidado, varios estudios indican que en las autopistas, por ejemplo, hay más accidentes cuando hay luz.	1	1	1	2	1	1	1	1	
135	61		Aspecto	Energía y Sostenibilidad		El uso de energías renovables en la iluminación de carreteras.									
136	61		Argumento	101	A favor	Incluso propondría dentro de esta propuesta que se abasteciera con energías renovables, preferentemente pequeñas placas solares en cada farola.	1	0	1						
137	61		Aspecto	Eficiencia Energética		La reducción de consumo energético en la iluminación de carreteras.									
138	61		Argumento	102	A favor	O encender una farola de cada dos, pero en toda la autopista.	1	0	1						
139	61		Aspecto	Impacto Ambiental		La contaminación lumínica y su impacto en el medio ambiente.									
140	61		Argumento	103	A favor	Tenemos nueva propuesta para hacer un estudio de impacto ambiental de la Contaminación lumínica de Madrid.	1	0	1						
141	61		Aspecto	Gestión Pública		Problemas en la gestión y mantenimiento del alumbrado público.									
